Tanggal_Lengkap,Tanggal,Hari,Bulan,Agenda,Kategori,Ada_Kegiatan
2025-04-22,22,Rabu,April,Kunjungan MIT Madani Cahaya Negeri 09:00 - Kunjungan SDN Beji 4 - Kunjungan SDN Mekarjaya 28 Ba'da Dzuhur -  Canvasing Partnership ke Sekolah dan Masjid,Kunjungan | Canvasing,Ya
2025-04-23,23,Kamis,April,Canvasing Partnership ke Sekolah dan Masjid,Canvasing,Ya
2025-04-24,24,Jumat,April,Kunjungan SDIT Al-Qudwah 10:00 - Canvasing Partnership ke Sekolah dan Masjid,Kunjungan | Canvasing,Ya
2025-04-25,25,Sabtu,April,Parenting SDIT Al Barkah -Event SDIT Al fajri,Parenting,Ya
2025-04-26,26,Minggu,April,Canvasing di CFD Depok - Harga Flash Sale,Canvasing | Promo,Ya
2025-04-27,27,Senin,April,Canvasing Partnership ke Sekolah dan Masjid - Harga Flash Sale,Canvasing | Promo,Ya
2025-04-28,28,Selasa,April,Canvasing Partnership ke Sekolah dan Masjid,Canvasing,Ya
2025-04-29,29,Rabu,April,Canvasing Partnership ke Sekolah dan Masjid,Canvasing,Ya
2025-04-30,30,Kamis,April,Canvasing Partnership ke Sekolah dan Masjid,Canvasing,Ya
2025-05-01,1,Jumat,Mei,Canvasing Partnership ke Sekolah dan Masjid,Canvasing,Ya
2025-05-02,2,Sabtu,Mei,Harga Flash Sale - Pelatihan Pemotongan Hewan Qurban,Promo | Pelatihan,Ya
2025-05-03,3,Minggu,Mei,Canvasing di CFD Depok - Harga Flash Sale,Canvasing | Promo,Ya
2025-05-04,4,Senin,Mei,Canvasing di Ulang Tahun FEB UNJ,Canvasing,Ya
2025-05-05,5,Selasa,Mei,,,Tidak
2025-05-06,6,Rabu,Mei,,,Tidak
2025-05-07,7,Kamis,Mei,,,Tidak
2025-05-08,8,Jumat,Mei,,,Tidak
2025-05-09,9,Sabtu,Mei,Kajian Parenting Qurban,Parenting,Ya
2025-05-10,10,Minggu,Mei,Pelatihan Pemotongan Hewan Qurban,Pelatihan,Ya
2025-05-11,11,Senin,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-12,12,Selasa,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-13,13,Rabu,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-14,14,Kamis,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-15,15,Jumat,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-16,16,Sabtu,Mei,,,Tidak
2025-05-17,17,Minggu,Mei,,,Tidak
2025-05-18,18,Senin,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-19,19,Selasa,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-20,20,Rabu,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-21,21,Kamis,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-22,22,Jumat,Mei,Safari Dongeng Qurban,Safari Dongeng,Ya
2025-05-23,23,Sabtu,Mei,,,Tidak
2025-05-24,24,Minggu,Mei,Canvasing di CFD Depok,Canvasing,Ya
2025-05-25,25,Senin,Mei,,,Tidak
2025-05-26,26,Selasa,Mei,,,Tidak
2025-05-27,27,Rabu,Mei,Idul Adha 1447 H,Idul Adha,Ya
2025-05-28,28,Kamis,Mei,Hari Tasyrik,Hari Tasyrik,Ya
2025-05-29,29,Jumat,Mei,Hari Tasyrik,Hari Tasyrik,Ya
2025-05-30,30,Sabtu,Mei,,,Tidak
2025-05-31,31,Minggu,Mei,,,Tidak
