8,SDN Mekar Jaya 17,Jalan Kahayan Raya Ujung No.1,Mekar Jaya,Sukmajaya,Sekolah,0856-9516-2978,Retno Damayanti,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,"Pemberian ucapan Idul Fitri dan donasi Safari Dongeng Kemanusiaan Rp.425.000,-","Selama komunikasi untuk kegiatan safari dongeng kemarin lancar dan baik respondnya. Namun, donasi bernilai kecil",,,Alfian
9,SDN Sukatani 7,Jalan Raya Pekapuran No.44,Sukatani,Tapos,Sekolah,0812-8742-349,Screen Listina,Proposal Sent,"- mengirimkan poster Safari Dongeng Qurban ke pihak sekolah
- Pertemuan pada Rabu, 15 April 2026 jam 08.00
-Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera","- Melakukan kunjungan dan memberikan penawaran kerja sama Qurban bersama Zakat Sukses
- sudah melakukan kontak dan sedang mengatur jadwal kunjungan
-Pemberian ucapan Idul Fitri dan donasi Safari Dongeng Kemanusiaan Rp.4.409.200,-","- Pada Qurban tahun lalu pemotongan di tempat guru Agama dan mencari hewan juga diserahkan kepada guru agama
- Selama komunikasi untuk kegiatan safari dongeng kemarin lancar dan baik respondnya",,,Alfian
10,SDIT Al Qudwah,Jalan Beringin No.1,Kemiri Muka,Beji,Sekolah,0852-1547-7056,Ustadzah Ayu,Proposal Sent,"- Mengirimkan proposal penawaran
- Kunjungan pada Jum'at, 24 April 2026 jam 10
- Mengatur jadwal pertemuan dengan pihak sekolah
- Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera","- Menghubungi pihak sekolah 
- Pemberian ucapan Idul Fitri dan donasi Safari Dongeng Kemanusiaan Rp.5.048.000,-","- SDIT memiliki 2 lokasi sekolah yang berjauhan jadi perlu dikomunikasikan terkait pertemuan ataupun kegiatan selanjutnya 
- Selama komunikasi untuk kegiatan safari dongeng kemarin lancar dan baik respondnya",,,Alfian
11,MIT Madani Cahaya Negeri ,"MCN Building, Gg Sawo No.127",Tanah Baru ,Beji,Sekolah,0815-1125-8248,Ustadz Agus Sholich,Proposal Sent,"- Melakukan kunjungan pada Rabu, 22 April 2026 jam 09.00
- Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera","- sudah melakukan kontak dan sedang mengatur jadwal kunjungan
-Pemberian ucapan Idul Fitri, beberapa donasi ZISWAF serta donasi Safari Dongeng Kemanusiaan Rp.23.802.600,-",Selama komunikasi untuk kegiatan safari dongeng maupun pembukaan gerai zakat kemarin lancar dan baik respondnya,,,Alfian
12,SIT Darul Abidin,Jalan Karet Hijau No.52,Beji Timur,Beji,Sekolah,Nomor Tidak tersedia,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,"Pembukaan Booth ZIS dan Safari dongeng kemanusiaan dengan donasi sebesar Rp.82.879.500,-","Tidak ada history komunikasi. Namun, selama kegiatan baik safari dongeng maupun Open Booth lancar",,,Alfian
13,SMAN 14 Depok,Jalan Buni Raya,Beji,Beji,Sekolah,0852-1560-2060,Bu Mpuni,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,"Pembukaan Booth ZIS dengan perolehan sebesar Rp.2.295.000,-",Belum ada riwayat komunikasi lanjutan ,,,Alfian
14,SDIT Al Barkah,Jalan Raya Bogor KM 29,Mekarsari,Cimanggis,Sekolah,0897-9312-071,Bu Lia Mahlia,Proposal Sent,menunggu data assesment dari sekolah terkait kebutuhan dan teknis untuk penyaluran korban banjir. Selanjutnya follow up terkait kebutuhan acara parenting tanggal 25 April 2026 ,Kunjungan ke Sekolah untuk melakukan penawaran kerja sama terkait Qurban,komunikasi dan respondnya baik mendukung kegiatan Zakat sukses,,,Alfian
15,SDIT Insan Mandiri,Jalan Raya Krukut No.17B,Grogol,Limo,Sekolah,0858-9206-1644,Hermawan,Proposal Sent,"- Follow up untuk melakukan Kencleng terkait tabungan Qurban siswa TKIT
- Kunjungan pada hari Jum'at, 17 April 2026
- Melakukan kontak kembali untuk mengucapkan idul fitri serta melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina","- Melakukan kunjungan
- Sudah melakukan kontak dan menjadwalkan kunjungan
- Membuka Booth ZIS dengan perolehan sebesar Rp.2.787.000,-",Tidak ada riwayat chat/komunikasi terbaru dengan pihak sekolah,,,Alfian
16,SDIT El Rifhat,Jalan H Sulaiman ,Bedahan,Sawangan ,Sekolah,0858-9341-3834,Ismail,Closed Lost,Melakukan kontak kembali untuk mengucapkan idul fitri serta melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina,"- Sudah melakukan kontak. Namun, pihak sekolah menolak kunjungan karena sedang ada Penilaian akreditasi
- Membuka Booth ZIS dengan perolehan sebesar Rp.590.000,-",Tidak ada riwayat chat/komunikasi terbaru dengan pihak sekolah,,,Alfian
17,SDIT Pondok Duta,Jalan Duta Plaza No.1 ,Tugu,Cimanggis,Sekolah,0858-8856-1562,Bu Yetty,Proposal Sent,"- Menanyakan kembali terikait kerja sama Safari Dongeng Qurban
-Rabu, 8 April 2026 akan ada pertemuan tindak lanjut dengan pihak sekolah
",Melakukan pertemuan dengan Pihak Yayasan dan menawarkan program Qurban 2026,"- Pihak yayasan sudah bekerjasama terkait pelaksanaan Qurban, hanya Safari Dongeng Qurban Insya allah akan lanjut
-Selama komunikasi untuk kegiatan safari dongeng maupun pembukaan gerai zakat kemarin lancar dan baik respondnya",,,Alfian
 ,SMPIT At Taufiq,Jalan Putri Tunggal No.17,Harjamukti,Cimanggis,Sekolah,0897-1281-481,Muchari,Proposal Sent,"- Menghubungi ketua panitia Qurban untuk komunikasi terkait pelaksanaan kolaborasi Qurban bersama
- Jadwal kunjungan pada Jum'at, 17 April 2026 jam 10
- Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina","- Melakukan kunjungan ke Sekolah
- Menghubungi pihak sekolah untuk mengatur jadwal kunjungan
- Melakukan pembagian takjil di sekitar wilayah sekolah dan menerima perolehan ZIS sebesar Rp.11.960.000,-",Selama komunikasi untuk kegiatan kemarin lancar dan baik respondnya,,,Alfian
19,Masjid Al Badriyah,Jalan Maih H Arsaman,Pasir Putih,Sawangan ,Masjid,0813-8100-9080,Pak Edi Laksono,Leads,Melakukan kontak kembali untuk memberikan penawaran kegiatan Qurban ,"Membuka Booth ZIS dengan perolehan Beras 28,75Kg dan Uang Sebesar Rp.1.775.000,-",Lingkungan masjid sangat sepi dan minat donatur sekitar kurang ,,,
20,Masjid Al Husna CGR 1,"Komplek CGR 1, Jalan Kapitan Raya",Sukatani,Tapos,Masjid,belum ada riwayat,belum ada riwayat,Contacted,Melakukan komunikasi kembali serta melakukan penawaran kegiatan Qurban bersama Zakat Sukses ,"- rapat terkait pelatihan penyembelihan
- Membuka Booth ZIS dengan perolehan Besar 22,5Kg dan uang sebesar Rp. 7.960.000,-",Tidak ada riwayat chat/komunikasi terbaru dengan pihak Masjid,,,Alfian
21,Masjid Al Muhajirin,"Kelapa Dua Residence, Jalan Tugu Raya",Tugu,Cimanggis,Masjid,belum ada riwayat,belum ada riwayat,Leads,Melakukan komunikasi kembali serta melakukan penawaran kegiatan Qurban bersama Zakat Sukses ,"Membuka Booth ZIS dengan perolehan Besar 58,5Kg dan uang sebesar Rp. 17.150.000,-",Tidak ada riwayat chat/komunikasi terbaru dengan pihak Masjid,,,
22,Masjid An Naafi GDC,Cluster New Anggrek 2,Tirtajaya,Sukmajaya,Masjid,0857-2890-2105,Pak Tri,Leads,Melakukan komunikasi kembali serta melakukan penawaran kegiatan Qurban bersama Zakat Sukses ,"Membuka Booth ZIS dengan perolehan Besar 170Kg dan uang sebesar Rp. 16.760.000,-","Pihak masjid melakukan penawaran terlebih dahulu,  selama kegiatan berlangsung komunikasi lancar dan mendapatkan respon yang baik",,,
23,TK Qurrota Ayyun,Jalan Mandor Samin ,Kalibaru,Cilodong,Sekolah,0896-3672-8537,Maisaroh,Leads,Melakukan komunikasi kembali serta melakukan penawaran kegiatan safari dongeng qurban palestina ,"Pemberian ucapan idul fitri dan penggalangan dana safari dongeng kemanusiaan dengan donasi sebesar Rp.1.570.000,-",Lokasi kegiatan tidak kondusif karena cuaca tidak mendukung,,,ozan
24,Masjid Al Chasanah,Jalan Cimpedak Raya NO.7,Sukamaju Baru,Tapos,Masjid,0812-8174-3767,Helmiatudin,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban ,Pemberian ucapan idul fitri,Komunikasi lancar dan responnya baik,,,
25,Masjid Al Chasanah,Jalan cagar alam ,Pancoran Mas,Pancoran Mas,Sekolah,0877-3890-645,Yani,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,"Pemberian ucapan Idul Fitri dan donasi Safari Dongeng Kemanusiaan Rp.1.610.000,-",Selama komunikasi untuk kegiatan safari dongeng kemarin lancar dan baik respondnya,,,
26,SMP Islam Ar Ridho Citeureup,"Jalan Tengsaw No.19, Tarikolot, Citeureup, Kabupaten Bogor",Tarikolot,Citeureup,Sekolah,0895-7042-57949,Sanjaya,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,Pemberian ucapan idul fitri,Selama komunikasi lancar dan mendapatkan respond yang baik,,,Ozan
27,SDIT Nizamia Andalusia,"Jalan Raya Mabes Hankam No.15, Jakarta Timur, DKI Jakarta",Bambu Apus,Cipayung,Sekolah,0818-587-460,Rachma,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,"Pemberian ucapan idul fitri dan donasi sebesar Rp.2.700.000,-",Selama kegitan motivasi kelas 6 komunikasi lancar dan respon yang baik,,,
28,Daycare Five Little ,Jalan Mujair Raya No.247,Depok Jaya,Pancoran Mas,Sekolah,0813-2383-7850,Fitri Hayati,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,Pemberian ucapan idul fitri dan safari dongeng kemanusiaan,Selama kegiatan komunikasi lancar dan respon yang baik. ,,,
29,Masjid Al Ma'mur Cinere,Vila Mutiara Cinere Blok E,Grogol,Limo,Masjid,0812-8615-597,Desi Andriani,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,Pemberian ucapan idul fitri dan safari dongeng kemanusiaan,Selama komunikasi untuk kegiatan safari dongeng kemarin lancar dan baik respondnya,,,
30,PAUD Al Quran Al Marjan,Permata Depok Regency ,Ratu Jaya,Cipayung,Sekolah,0857-1533-6880,Enjum Dian Jumati,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera,Pemberian ucapan idul fitri dan safari dongeng kemanusiaan,Komunikasi searah  dan respon yang lumayan baik (tidak ada balasan),,,ozan
31,Masjid KPPN Bogor,Jalan H Juanda No.64,Paledang,Bogor Tengah,Masjid,0812-9032-9991,Umar Jeddy,Contacted,Melakukan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"- memberikan undangan pelatihan penyembelihan 
- Pemberian ucapan idul fitri serta  membuka gerai zakat di masjid lingkungan KPPN Bogor",Selama kegiatan berlangsung komunikasi lancar dan mendapatkan respon yang baik,,,Alfian
32,SDIT AL Fadl 2,Jalan Kampung Kramat No.80,Harapan Jaya,Cibinong,Sekolah,0887-4330-98091,Pak Taufik,Contacted,Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina,"- memberikan undangan pelatihan penyembelihan
- Pemberian ucapan idul fitri, melakukan beberapa kegiatan ZIS maupun dongeng bersama Zakat Sukses","Selama kegiatan berlangsung komunikasi lancar dan mendapatkan respon yang baik. Namun, untuk saat ini belum ada respon terbaru",,,Alfian
33,Yayasan Cahaya Hati Bening,Jalan H Martan No.40,Tugu,Cimanggis,Yayasan,0811-102-672,Pak Irsyal Ismail,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"Pemberian ucapan idul fitri, bekerja sama menjadi MPZ Zakat Sukses","Selama kegiatan berlangsung komunikasi lancar dan mendapatkan respon yang baik. Namun, untuk saat ini belum ada respon terbaru",,,
34,MI Al Hidayah,Jalan Cagar Alam Selatan,Ratu Jaya,Pancoran Mas,Sekolah,0877-2389-0645,Bu Yani,Contacted,"- Melakukan penjadwalan kunjungan ke sekolah
- Melakukan kontak untuk kembali melakukan penawaran kegiatan Safari dongeng kembali mengenai Qurban bersama Zakat Sukses","Pemberian ucapan idul fitri serta melakukan program safari dongeng ramadhan dengan donasi sebesar Rp.1.610.000,-",Selama kegiatan berlangsung komunikasi lancar dan mendapatkan respon yang baik. ,,,Alfian
35,SDIT Bina Cendekia (Masjid As Sa'adah),Jalan Raya Curug No.18,Curug,Bojongsari,Sekolah,0813-1623-7771,Aulia Abdul Fatah,Contacted,"- Melakukan penjadwalan kunjungan ke sekolah
- Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera","- Melakukan kontak 
- Pemberian ucapan idul fitri serta  membuka gerai zakat di masjid lingkungan SDIT Bina Cendekia","Selama kegiatan berlangsung komunikasi lancar dan mendapatkan respon yang baik. Namun, untuk saat ini belum ada respon terbaru",,,Alfian
36,SDIT Cipta Insani,Jalan Taman Makam Pahlawan No.22,Kalimulya,Cilodong,Sekolah,0852-8404-4164,Wawan Hernawan,Proposal Sent,"- Mengirimkan Brosur Qurban dan mengatur jadwal Safari Dongeng
- Melakukan kontak untuk melakukan penawaran kegiatan Qurban & Safari Dongeng Qurban Palestina/Sumatera","- Pertemuan pada Rabu, 15 April 2026 jam 10.30
- sudah melakukan kontak dan sedang mengatur jadwal kunjungan
- Pemberian ucapan idul fitri serta  membuka gerai zakat di lingkungan SDIT Cipta Insani dengan perolehan Beras seberat 20,76Kg dan uang dengan nominal sebesar Rp.6.916.000,- ",Selama kegiatan berlangsung komunikasi lancar dan mendapatkan respon yang baik. ,,,Alfian
37,Masjid Nurut Taqwa,Jalan Lontar RT 04/RW 010,Tanah Baru ,Beji,Masjid,0857-1111-3307,Pak Agung,Leads,Melakukan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,Pemberian ucapan idul fitri serta menjadi MPZ dengan membuka gerai zakat di sekitar lingkungan ,"Selama kegiatan berlangsung komunikasi lancar dan mendapatkan respon yang baik. Namun, mendapatan stand zakat yang berjamur",,,
38,Masjid Baitut Taqwa KP DIRJEN Bea Cukai,Kantor Pusat Bea Cukai,Pisangan Timur,Jakarta Timur,Masjid,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Peduli Kemanusiaan Palestina sebesar Rp.50.000.000,-",dari Channel Daarus Salam dengan nama relawan Bahrul Ulum,,,
39,Masjid Al Amin SMAN 37 Jakarta,"Jalan H, RT 06/RW 06",Kebon Baru,Tebet,Masjid,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Ulurkan Tangan Korban Bencana Sumatera sebesar Rp.15.983.000,-",dari Channel Pesona Berkah Cemerlang dengan nama relawan Eko Susanto,,,
40,Masjid Ibadurrahman,null,null,null,Masjid,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Tunaikan Zakat Maal sebesar Rp.10.000.000,-",dari Channel Beji dengan nama relawan Suseno Hadi,,,
41,Azzhari Islamic School Lebak Bulus,Jalan Pertanian Raya Lebak Bulus,Lebak Bulus,Cilandak ,Yayasan,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Ulurkan Tangan Korban Bencana Sumatera sebesar Rp.24.800.217,- dan donasi Untuk Program Peduli Kemanusiaan Palestina sebesar Rp.8.233.000,-",data diambil dari Channel Al Araf MS & kegiatan Bukber di Azhari Islamic School,,,
42,Sekolah Alam Depok,Jalan Bungsan No.80,Bedahan,Sawangan ,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Tunaikan Zakat Maal sebesar Rp.8.000.000,-",dari Channel Sawangan dengan nama relawan Wulandini,,,
43,Nurul Imam Islamic School Karawang,Jalan Manunggal XIX,Pasir Jengkol,Majalaya,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Tunaikan Zakat Fitrah sebesar Rp.8.000.000,-",dari Channel Sahabat Zakat Karawang dengan nama relawan Muhammad Hanif Hafizhi,,,
44,SMPIK Al Khoeriyah,Jalan Raya Tapos No.85,Cimpaeun,Tapos,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Ulurkan Tangan Korban Bencana Sumatera sebesar Rp.7.500.000,-",dari Channel Tapos dengan nama relawan Lisma Maya Sari,,,
45,Masjid Nurul Taqwa,null,null,null,Masjid,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Zakat Fitrah sebesar Rp.6.070.000,-",dari Channel Bakti Cinta Negeri dengan nama relawan Agung Nugroho,,,
46,SDIT Ruhama,Jalan Perumahan Jatijajar No.24A Blok D24,Jatijajar,Tapos,Sekolah,0821-2425-2144,Bu Halimah,Leads,Memberikan ucapan idul fitri serta melakukan penawaran kegiatan Qurban maupun Safari dongeng Qurban Palestina bersama Zakat Sukses,Memberikan donasi ZIS sebesar Rp.8.744.000 dan Safari Dongeng Kemanusiaan,Selama kegiatan berlangsung komunikasi lancar dan mendapatkan respon yang baik. ,,,Ozan
47,PG TK SMARTBEE,Jalan Danau Maninjau Raya No.221,Abadijaya,Sukmajaya,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan Sedekah Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Bingkisan Ramadhan sebesar Rp.6.000.000,-",dari Channel Pusat dengan nama relawan Daffa Athaya,,,Ozan
48,Masjid Al Barokah,null,null,Sukmajaya,Masjid,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Infak Sedekah sebesar Rp.5.224.000,-",dari Channel Pusat dengan nama relawan Muhamad Fikrih Nugroho,,,
49,SIT Al Madani,null,null,null,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Infak Sedekah sebesar Rp.5.000.000,-",dari Channel Sahabat Zakat Karawang dengan nama Relawan Abdul Kholik,,,
50,Masjid BAITURRAHIM PT KTB,null,null,null,Masjid,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Bingkisan Berkah Ramadhan di Lokasi Bencana sebesar Rp.5.000.000,-",dari Channel Beji dengan nama relawan Tyas Widyasari,,,
51,Sekolah Islam Insan Cendekia,null,null,null,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Tunaikan Zakat Maal sebesar Rp.5.000.000,-",dari Channel Margonda dengan Kode Relawan A10407,,,
52,SMPN 13 Depok,Jalan H Saleh I No.13,Limo,Limo,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Bingkisan Berkah Ramadhan untuk Palestina sebesar Rp.5.000.000,-",dari Channel Pesona Berkah Cemerlang dengan nama relawan Safrudin,,,
53,TKQ Ayyasy,Jalan Karees II,Palumbonsari,Karawang Timur,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Paket Musim Dingin untuk Palestina sebesar Rp.4.450.000,-",dari Channel Sahabat Zakat Karawang dengan nama relawan Lili Suhenda,,,
54,SDN Lebak Bulus 02,Jalan Pertanian Raya Lebak Bulus,Lebak Bulus,Cilandak ,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Ulurkan Tangan Bantu Korban Bencana Sumatera sebesar Rp.3.807.900,-",dari Channel Pesona Berkah Cemerlang dengan nama relawan Mulyati,,,
55,TKIT Nabila ,Jalan Sawo Raya No.14,Sukatani,Tapos,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Infak Sedekah sebesar Rp.3.642.000,-",dari Channel Al Araf MS dengan nama relawan Muslihah,,,
56,SMPN 1 Depok,Jalan Pemuda No.53,Depok Jaya,Pancoran Mas,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Ifthar/Sahur untuk Palestina sebesar Rp.3.400.000,-",dari Channel Pesona Berkah Cemerlang dengan nama relawan Safrudin,,,
57,SDIT Misbaahussduur,Jalan Perumahan Taman Raya Citayam No.12012,Rawa Panjang,Bojonggede,Sekolah,tidak ada riwayat ,Tidak ada riwayat chat (hanya transaksi),Leads,Mencari kontak yang bisa dihubungi dan kontak untuk melakukan penawaran kegiatan  Qurban bersama Zakat Sukses,"Memberikan donasi untuk Program Ulurkan Tangan Bantu Korban Bencana Sumatera sebesar Rp.3.200.000,-",dari Channel Beji dengan nama relawan Anis Khaerunisa,,,
